timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-24 19:59:08.917,1,3,Drone,26.78,-64.46,-19.49,17.0,9.32,0.0,0.007,0.0,0.0,0.0,0.016,0.0,0.007
2025-12-24 20:03:02.581,3,4,Soldier,30.19,-119.96,-22.28,17.0,-12.84,0.0,0.024,0.0,0.0,0.0,0.011,0.0,0.004
2025-12-24 20:04:51.396,4,3,Drone,29.57,-0.93,-0.41,17.0,24.98,0.03,0.008,0.003,0.024,0.0,0.0,0.0,0.0
2025-12-24 20:05:55.906,5,5,Drone,29.31,120.49,21.26,17.0,-12.52,0.0,0.0,0.0,0.0,0.0,0.022,0.014,0.0
2025-12-24 20:06:37.315,6,1,Soldier,25.97,-81.35,-20.36,17.0,3.1,0.0,0.0,0.004,0.009,0.006,0.102,0.016,0.0
2025-12-24 20:08:37.075,8,12,Drone,29.36,-62.06,-21.85,17.0,11.59,0.0,0.008,0.012,0.008,0.042,0.005,0.014,0.007
2025-12-24 20:09:36.133,9,10,Soldier,25.78,-166.46,-4.76,17.0,-19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.052
2025-12-24 20:10:48.194,10,15,Soldier,25.51,50.03,15.34,17.0,12.85,0.019,0.041,0.032,0.003,0.022,0.08,0.051,0.016
2025-12-24 20:12:44.758,11,3,Soldier,28.11,74.69,22.41,17.0,6.13,0.0,0.0,0.0,0.005,0.0,0.007,0.0,0.0
