timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-23 23:16:41.092,1,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.0,0.003,0.037,0.0,0.0,0.011,0.0
2025-12-23 23:17:07.105,2,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.0,0.004,0.014,0.0,0.002,0.0
2025-12-23 23:19:03.287,3,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.0,0.01,0.0,0.0,0.0,0.028,0.0,0.0
2025-12-23 23:19:47.391,4,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.0,0.0,0.013,0.005,0.0,0.007,0.0,0.0
2025-12-23 23:20:16.321,5,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.0,0.0,0.0,0.004,0.004
